;id, isbn, asin, title, author, binding, publisher, publicationdate, category, newprice, usedprice, usedcount, height, length, width, detailpageurl, image
1,9784140053720,4140053720, 利家とまつ〈上〉, 竹山 洋, 単行本, 日本放送出版協会,2001-11, 歴史・時代小説, None,1,38,3.4,19,13.8,https://www.amazon.co.jp/%E5%88%A9%E5%AE%B6%E3%81%A8%E3%81%BE%E3%81%A4%E3%80%88%E4%B8%8A%E3%80%89-%E7%AB%B9%E5%B1%B1-%E6%B4%8B/dp/4140053720?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4140053720,https://images-fe.ssl-images-amazon.com/images/I/516SNMMEBML.jpg
2,9784140053737,4140053739, 利家とまつ〈下〉, 竹山 洋, 単行本, 日本放送出版協会,2001-11, 歴史・時代小説, None,1,26,3.2,19,13.6,https://www.amazon.co.jp/%E5%88%A9%E5%AE%B6%E3%81%A8%E3%81%BE%E3%81%A4%E3%80%88%E4%B8%8B%E3%80%89-%E7%AB%B9%E5%B1%B1-%E6%B4%8B/dp/4140053739?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4140053739,https://images-fe.ssl-images-amazon.com/images/I/51YWDCHN2GL.jpg
3,9784149233352,4149233357, 利家とまつ―加賀百万石物語 (前編) (NHK大河ドラマ・ストーリー), NHK出版, ムック, 日本放送出版協会,2001-12, NHK系, None,1,27,1,26.2,19,https://www.amazon.co.jp/%E5%88%A9%E5%AE%B6%E3%81%A8%E3%81%BE%E3%81%A4%E2%80%95%E5%8A%A0%E8%B3%80%E7%99%BE%E4%B8%87%E7%9F%B3%E7%89%A9%E8%AA%9E-%E5%89%8D%E7%B7%A8-NHK%E5%A4%A7%E6%B2%B3%E3%83%89%E3%83%A9%E3%83%9E%E3%83%BB%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AA%E3%83%BC-NHK%E5%87%BA%E7%89%88/dp/4149233357?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4149233357,https://images-fe.ssl-images-amazon.com/images/I/51A3H0JXW6L.jpg
4,9784149233369,4149233365, 利家とまつ―加賀百万石物語 (後編) (NHK大河ドラマ・ストーリー), NHK出版, ムック, 日本放送出版協会,2002-06, NHK系,1026,1,13,1,25.8,17.2,https://www.amazon.co.jp/%E5%88%A9%E5%AE%B6%E3%81%A8%E3%81%BE%E3%81%A4%E2%80%95%E5%8A%A0%E8%B3%80%E7%99%BE%E4%B8%87%E7%9F%B3%E7%89%A9%E8%AA%9E-%E5%BE%8C%E7%B7%A8-NHK%E5%A4%A7%E6%B2%B3%E3%83%89%E3%83%A9%E3%83%9E%E3%83%BB%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AA%E3%83%BC-NHK%E5%87%BA%E7%89%88/dp/4149233365?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4149233365,https://images-fe.ssl-images-amazon.com/images/I/514KJ82TGSL.jpg
5,9784833010559,4833010550, 図説 前田利家, None, 単行本, 北国新聞社,1999-04, ノンフィクション, None,650,7,1.4,25.4,18.2,https://www.amazon.co.jp/%E5%9B%B3%E8%AA%AC-%E5%89%8D%E7%94%B0%E5%88%A9%E5%AE%B6-%E5%9B%B3%E8%AA%AC%E5%89%8D%E7%94%B0%E5%88%A9%E5%AE%B6%E7%B7%A8%E7%BA%82%E5%A7%94%E5%93%A1%E4%BC%9A/dp/4833010550?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4833010550,https://images-fe.ssl-images-amazon.com/images/I/61G-t1qexQL.jpg
6,9784149233376,4149233373, 武蔵MUSASHI (前編) (NHK大河ドラマ・ストーリー), 吉川 英治, ムック, 日本放送出版協会,2002-12-01, NHK系, None,1,26,2.2,30.6,18.5,https://www.amazon.co.jp/%E6%AD%A6%E8%94%B5MUSASHI-%E5%89%8D%E7%B7%A8-NHK%E5%A4%A7%E6%B2%B3%E3%83%89%E3%83%A9%E3%83%9E%E3%83%BB%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AA%E3%83%BC-%E5%90%89%E5%B7%9D-%E8%8B%B1%E6%B2%BB/dp/4149233373?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4149233373,https://images-fe.ssl-images-amazon.com/images/I/512BJRQDDJL.jpg
7,9784585051190,4585051198, 前田利家 栄光の軌跡, None, 単行本, 勉誠出版,2001-10, ノンフィクション, None,701,5, , , ,https://www.amazon.co.jp/%E5%89%8D%E7%94%B0%E5%88%A9%E5%AE%B6-%E6%A0%84%E5%85%89%E3%81%AE%E8%BB%8C%E8%B7%A1-%E9%9D%92%E5%B1%B1-%E5%85%8B%E5%BC%A5/dp/4585051198?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4585051198,https://images-fe.ssl-images-amazon.com/images/I/5194SKQVHML.jpg
8,9784415065595,4415065597, 前田利家―物語と史蹟をたずねて, 井口 朝生, 単行本, 成美堂出版,1986-05, 文学・評論, None,1,6,1.8,18.6,13.2,https://www.amazon.co.jp/%E5%89%8D%E7%94%B0%E5%88%A9%E5%AE%B6%E2%80%95%E7%89%A9%E8%AA%9E%E3%81%A8%E5%8F%B2%E8%B9%9F%E3%82%92%E3%81%9F%E3%81%9A%E3%81%AD%E3%81%A6-%E4%BA%95%E5%8F%A3-%E6%9C%9D%E7%94%9F/dp/4415065597?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4415065597, None
9,9784834250558,4834250555, あの戦争 太平洋戦争全記録〈上〉, None, 単行本, ホーム社,2001-08, 日本史一般, None,1,29,1.8,25.6,18.2,https://www.amazon.co.jp/%E3%81%82%E3%81%AE%E6%88%A6%E4%BA%89-%E5%A4%AA%E5%B9%B3%E6%B4%8B%E6%88%A6%E4%BA%89%E5%85%A8%E8%A8%98%E9%8C%B2%E3%80%88%E4%B8%8A%E3%80%89-%E7%94%A3%E7%B5%8C%E6%96%B0%E8%81%9E%E7%A4%BE/dp/4834250555?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4834250555,https://images-fe.ssl-images-amazon.com/images/I/51GFSCFRNZL.jpg
10,9784834250565,4834250563, あの戦争 太平洋戦争全記録〈中〉, None, 単行本, ホーム社,2001-09, 日本史一般, None,11,18,2,25.6,18.2,https://www.amazon.co.jp/%E3%81%82%E3%81%AE%E6%88%A6%E4%BA%89-%E5%A4%AA%E5%B9%B3%E6%B4%8B%E6%88%A6%E4%BA%89%E5%85%A8%E8%A8%98%E9%8C%B2%E3%80%88%E4%B8%AD%E3%80%89-%E7%94%A3%E7%B5%8C%E6%96%B0%E8%81%9E%E7%A4%BE/dp/4834250563?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4834250563,https://images-fe.ssl-images-amazon.com/images/I/51Z701SHKGL.jpg
11,9784834250572,4834250571, あの戦争 太平洋戦争全記録〈下〉, None, 単行本, ホーム社,2001-10, 日本史一般, None,1,10,1.8,25.6,18.4,https://www.amazon.co.jp/%E3%81%82%E3%81%AE%E6%88%A6%E4%BA%89-%E5%A4%AA%E5%B9%B3%E6%B4%8B%E6%88%A6%E4%BA%89%E5%85%A8%E8%A8%98%E9%8C%B2%E3%80%88%E4%B8%8B%E3%80%89-%E7%94%A3%E7%B5%8C%E6%96%B0%E8%81%9E%E7%A4%BE/dp/4834250571?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4834250571,https://images-fe.ssl-images-amazon.com/images/I/51NA7B985KL.jpg
12,9784537250015,4537250011, 面白いほどよくわかる太平洋戦争―日本の運命を決めた「真珠湾」からの激闘のすべて (学校で教えない教科書), 太平洋戦争研究会, 単行本, 日本文芸社,2000-08-01, 日本史一般,1404,1,49,2.2,18.6,13,https://www.amazon.co.jp/%E9%9D%A2%E7%99%BD%E3%81%84%E3%81%BB%E3%81%A9%E3%82%88%E3%81%8F%E3%82%8F%E3%81%8B%E3%82%8B%E5%A4%AA%E5%B9%B3%E6%B4%8B%E6%88%A6%E4%BA%89%E2%80%95%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E5%91%BD%E3%82%92%E6%B1%BA%E3%82%81%E3%81%9F%E3%80%8C%E7%9C%9F%E7%8F%A0%E6%B9%BE%E3%80%8D%E3%81%8B%E3%82%89%E3%81%AE%E6%BF%80%E9%97%98%E3%81%AE%E3%81%99%E3%81%B9%E3%81%A6-%E5%AD%A6%E6%A0%A1%E3%81%A7%E6%95%99%E3%81%88%E3%81%AA%E3%81%84%E6%95%99%E7%A7%91%E6%9B%B8-%E5%A4%AA%E5%B9%B3%E6%B4%8B%E6%88%A6%E4%BA%89%E7%A0%94%E7%A9%B6%E4%BC%9A/dp/4537250011?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4537250011,https://images-fe.ssl-images-amazon.com/images/I/51H6FVDFEWL.jpg
13,9784569625379,4569625371, 遠い島ガダルカナル, 半藤 一利, 単行本, PHP研究所,2002-12, SF・ホラー・ファンタジー, None,62,16,2.6,19.8,13.5,https://www.amazon.co.jp/%E9%81%A0%E3%81%84%E5%B3%B6%E3%82%AC%E3%83%80%E3%83%AB%E3%82%AB%E3%83%8A%E3%83%AB-%E5%8D%8A%E8%97%A4-%E4%B8%80%E5%88%A9/dp/4569625371?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4569625371,https://images-fe.ssl-images-amazon.com/images/I/511P0JJRT1L.jpg
14,9784769810025,4769810024, 陸軍中野学校―秘密戦士の実態, 加藤 正夫, 単行本, 光人社,2001-04-01, その他, None,68,11,2,20,14,https://www.amazon.co.jp/%E9%99%B8%E8%BB%8D%E4%B8%AD%E9%87%8E%E5%AD%A6%E6%A0%A1%E2%80%95%E7%A7%98%E5%AF%86%E6%88%A6%E5%A3%AB%E3%81%AE%E5%AE%9F%E6%85%8B-%E5%8A%A0%E8%97%A4-%E6%AD%A3%E5%A4%AB/dp/4769810024?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4769810024,https://images-fe.ssl-images-amazon.com/images/I/511G9X56XPL.jpg
15,9784140053331,414005333X, 葵―徳川三代〈上〉, ジェームス三木, 単行本, 日本放送出版協会,1999-12, 歴史・時代小説, None,1,19,2.8,19.6,13.6,https://www.amazon.co.jp/%E8%91%B5%E2%80%95%E5%BE%B3%E5%B7%9D%E4%B8%89%E4%BB%A3%E3%80%88%E4%B8%8A%E3%80%89-%E3%82%B8%E3%82%A7%E3%83%BC%E3%83%A0%E3%82%B9%E4%B8%89%E6%9C%A8/dp/414005333X?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=414005333X,https://images-fe.ssl-images-amazon.com/images/I/517A0Z74RFL.jpg
16,9784140053348,4140053348, 葵 徳川三代〈中〉, ジェームス三木, 単行本, 日本放送出版協会,2000-03, 歴史・時代小説, None,1,7,3,19.6,14,https://www.amazon.co.jp/%E8%91%B5-%E5%BE%B3%E5%B7%9D%E4%B8%89%E4%BB%A3%E3%80%88%E4%B8%AD%E3%80%89-%E3%82%B8%E3%82%A7%E3%83%BC%E3%83%A0%E3%82%B9%E4%B8%89%E6%9C%A8/dp/4140053348?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4140053348,https://images-fe.ssl-images-amazon.com/images/I/51SXCCA20YL.jpg
