;id, isbn, asin, title, author, binding, publisher, publicationdate, category, newprice, usedprice, usedcount, height, length, width, detailpageurl, image
1, 9784163757704, 4163757708, これが物理学だ! マサチューセッツ工科大学「感動」講義, ウォルター ルーウィン, 単行本, 文藝春秋, 2012-10-13, 一般, 1944, 100, 66, 2.8, 19.0, 13.8, https://www.amazon.co.jp/%E3%81%93%E3%82%8C%E3%81%8C%E7%89%A9%E7%90%86%E5%AD%A6%E3%81%A0-%E3%83%9E%E3%82%B5%E3%83%81%E3%83%A5%E3%83%BC%E3%82%BB%E3%83%83%E3%83%84%E5%B7%A5%E7%A7%91%E5%A4%A7%E5%AD%A6%E3%80%8C%E6%84%9F%E5%8B%95%E3%80%8D%E8%AC%9B%E7%BE%A9-%E3%82%A6%E3%82%A9%E3%83%AB%E3%82%BF%E3%83%BC-%E3%83%AB%E3%83%BC%E3%82%A6%E3%82%A3%E3%83%B3/dp/4163757708?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4163757708, https://images-fe.ssl-images-amazon.com/images/I/51epfZGDskL.jpg
2, 9784794217578, 4794217579, まだ科学で解けない13の謎, マイケル・ブルックス, 単行本, 草思社, 2010-04-22, ノンフィクション, 1944, 1, 36, 3.0, 19.2, 13.2, https://www.amazon.co.jp/%E3%81%BE%E3%81%A0%E7%A7%91%E5%AD%A6%E3%81%A7%E8%A7%A3%E3%81%91%E3%81%AA%E3%81%8413%E3%81%AE%E8%AC%8E-%E3%83%9E%E3%82%A4%E3%82%B1%E3%83%AB%E3%83%BB%E3%83%96%E3%83%AB%E3%83%83%E3%82%AF%E3%82%B9/dp/4794217579?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4794217579, https://images-fe.ssl-images-amazon.com/images/I/41FkIdTXosL.jpg
4, 9784622039709, 4622039702, 夜と霧 新版, ヴィクトール・E・フランクル, 単行本, みすず書房, 2002-11-06, 文学・評論, 1620, 1, 136, 2.0, 19.5, 13.4, https://www.amazon.co.jp/%E5%A4%9C%E3%81%A8%E9%9C%A7-%E6%96%B0%E7%89%88-%E3%83%B4%E3%82%A3%E3%82%AF%E3%83%88%E3%83%BC%E3%83%AB%E3%83%BB-%E3%83%BB%E3%83%95%E3%83%A9%E3%83%B3%E3%82%AF%E3%83%AB/dp/4622039702?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4622039702, https://images-fe.ssl-images-amazon.com/images/I/41X13RTCGRL.jpg
5, 9784047288881, 4047288888, 体感する数学, 竹内薫, 単行本, エンターブレイン, 2013-06-15, 科学・テクノロジー, 2980, 1, 22, 2.4, 19.0, 13.0, https://www.amazon.co.jp/%E4%BD%93%E6%84%9F%E3%81%99%E3%82%8B%E6%95%B0%E5%AD%A6-%E7%AB%B9%E5%86%85%E8%96%AB/dp/4047288888?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4047288888, https://images-fe.ssl-images-amazon.com/images/I/614ylNvEAEL.jpg
6, 9784309616780, 430961678X, 自分はバカかもしれないと思ったときに読む本 (14歳の世渡り術), 竹内 薫, 単行本, 河出書房新社, 2013-03-20, エッセー・随筆, 1296, 1, 22, 2.0, 18.6, 13.0, https://www.amazon.co.jp/%E8%87%AA%E5%88%86%E3%81%AF%E3%83%90%E3%82%AB%E3%81%8B%E3%82%82%E3%81%97%E3%82%8C%E3%81%AA%E3%81%84%E3%81%A8%E6%80%9D%E3%81%A3%E3%81%9F%E3%81%A8%E3%81%8D%E3%81%AB%E8%AA%AD%E3%82%80%E6%9C%AC-14%E6%AD%B3%E3%81%AE%E4%B8%96%E6%B8%A1%E3%82%8A%E8%A1%93-%E7%AB%B9%E5%86%85-%E8%96%AB/dp/430961678X?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=430961678X, https://images-fe.ssl-images-amazon.com/images/I/51VAFQQWA8L.jpg
7, 9784906732371, 4906732372, 思考力, 外山 滋比古, 単行本（ソフトカバー）, さくら舎, 2013-08-05, エッセー・随筆, 1512, 1, 29, 1.8, 18.6, 12.8, https://www.amazon.co.jp/%E6%80%9D%E8%80%83%E5%8A%9B-%E5%A4%96%E5%B1%B1-%E6%BB%8B%E6%AF%94%E5%8F%A4/dp/4906732372?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4906732372, https://images-fe.ssl-images-amazon.com/images/I/412SN%2B5co1L.jpg
8, 9784757408685, 4757408684, 起きてから寝るまで英単語帳―身の回りのものを全部英語で言ってみよう!, 荒井 貴和, 単行本, アルク, 2005-03-25, 社会・政治, None, 1, 22, 2.2, 18.2, 13.4, https://www.amazon.co.jp/%E8%B5%B7%E3%81%8D%E3%81%A6%E3%81%8B%E3%82%89%E5%AF%9D%E3%82%8B%E3%81%BE%E3%81%A7%E8%8B%B1%E5%8D%98%E8%AA%9E%E5%B8%B3%E2%80%95%E8%BA%AB%E3%81%AE%E5%9B%9E%E3%82%8A%E3%81%AE%E3%82%82%E3%81%AE%E3%82%92%E5%85%A8%E9%83%A8%E8%8B%B1%E8%AA%9E%E3%81%A7%E8%A8%80%E3%81%A3%E3%81%A6%E3%81%BF%E3%82%88%E3%81%86-%E8%8D%92%E4%BA%95-%E8%B2%B4%E5%92%8C/dp/4757408684?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4757408684, https://images-fe.ssl-images-amazon.com/images/I/515H06S3JTL.jpg
9, 9784774128580, 4774128589, へんな毒すごい毒 (知りたい★サイエンス), 田中 真知, 単行本（ソフトカバー）, 技術評論社, 2006-08-31, 科学読み物, 1706, 1, 40, 1.4, 18.6, 12.8, https://www.amazon.co.jp/%E3%81%B8%E3%82%93%E3%81%AA%E6%AF%92%E3%81%99%E3%81%94%E3%81%84%E6%AF%92-%E7%9F%A5%E3%82%8A%E3%81%9F%E3%81%84%E2%98%85%E3%82%B5%E3%82%A4%E3%82%A8%E3%83%B3%E3%82%B9-%E7%94%B0%E4%B8%AD-%E7%9C%9F%E7%9F%A5/dp/4774128589?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4774128589, https://images-fe.ssl-images-amazon.com/images/I/518a5-4BdDL.jpg
10, 9784774128597, 4774128597, 薬は体に何をするか (知りたい★サイエンス), 矢沢サイエンスオフィス, 単行本（ソフトカバー）, 技術評論社, 2006-08-05, 基礎薬学, 1706, 1, 29, 1.8, 18.6, 13.0, https://www.amazon.co.jp/%E8%96%AC%E3%81%AF%E4%BD%93%E3%81%AB%E4%BD%95%E3%82%92%E3%81%99%E3%82%8B%E3%81%8B-%E7%9F%A5%E3%82%8A%E3%81%9F%E3%81%84%E2%98%85%E3%82%B5%E3%82%A4%E3%82%A8%E3%83%B3%E3%82%B9-%E7%9F%A2%E6%B2%A2%E3%82%B5%E3%82%A4%E3%82%A8%E3%83%B3%E3%82%B9%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9/dp/4774128597?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4774128597, https://images-fe.ssl-images-amazon.com/images/I/51bFcTgcNTL.jpg
11, 9784594029159, 4594029159, 日本猟奇・残酷事件簿, 合田 一道, 単行本, 扶桑社, 2000-06, 社会学概論, None, 1010, 6, 1.6, 18.8, 13.0, https://www.amazon.co.jp/%E6%97%A5%E6%9C%AC%E7%8C%9F%E5%A5%87%E3%83%BB%E6%AE%8B%E9%85%B7%E4%BA%8B%E4%BB%B6%E7%B0%BF-%E5%90%88%E7%94%B0-%E4%B8%80%E9%81%93/dp/4594029159?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4594029159, https://images-fe.ssl-images-amazon.com/images/I/51MR2TNC0RL.jpg
